사용일자,노선명,역명,승차총승객수,하차총승객수
20250901,6호선,독바위,2903,3071
20250901,3호선,금호,8464,8066
20250901,3호선,옥수,9083,9532
20250901,3호선,압구정,30621,32545
20250901,3호선,신사,29563,30880
20250901,3호선,잠원,7141,6971
20250901,3호선,고속터미널,42915,40786
20250901,3호선,교대(법원.검찰청),17994,10790
20250901,3호선,남부터미널(예술의전당),30548,30975
20250901,3호선,양재(서초구청),40098,42599
20250901,3호선,매봉,13453,12700
20250901,3호선,도곡,6678,6532
20250901,3호선,대치,13447,13522
20250901,3호선,학여울,2004,2066
20250901,3호선,대청,11825,11044
20250901,3호선,일원,12378,12348
20250901,3호선,수서,19079,19436
20250901,3호선,가락시장,9274,8838
20250901,3호선,경찰병원,8394,8389
20250901,3호선,오금,7248,6271
20250901,4호선,불암산,10047,8545
20250901,4호선,상계,20653,19393
20250901,4호선,노원,20933,23279
20250901,4호선,창동,27453,28715
20250901,4호선,쌍문,30405,28765
20250901,4호선,수유(강북구청),35147,35850
20250901,4호선,미아(서울사이버대학),17152,16808
20250901,4호선,미아사거리,26628,26182
20250901,4호선,길음,23094,23484
20250901,4호선,성신여대입구(돈암),23548,23043
20250901,4호선,한성대입구(삼선교),15647,14920
20250901,4호선,혜화,32912,32671
20250901,4호선,동대문,19443,19974
20250901,4호선,동대문역사문화공원(DDP),19402,17284
20250901,4호선,충무로,35311,35780
20250901,4호선,명동,36101,37896
20250901,4호선,회현(남대문시장),29008,29318
20250901,4호선,서울역,13907,21243
20250901,4호선,숙대입구(갈월),16402,16053
20250901,4호선,삼각지(전쟁기념관),6071,6757
20250901,4호선,신용산,21661,23400
20250901,4호선,이촌(국립중앙박물관),9095,9893
20250901,4호선,동작(현충원),1590,1605
20250901,4호선,총신대입구(이수),20091,21551
20250901,4호선,사당,25332,22358
20250901,4호선,남태령,1457,1283
20250901,5호선,방화,7512,7315
20250901,5호선,개화산,6639,6262
20250901,5호선,김포공항,12634,7618
20250901,5호선,송정,6533,6191
20250901,5호선,마곡,16195,16415
20250901,5호선,발산,24517,24854
20250901,5호선,우장산,16437,16515
20250901,5호선,화곡,29946,28196
20250901,5호선,까치산,29124,28123
20250901,5호선,신정(은행정),14416,12146
20250901,5호선,목동,17586,19484
20250901,5호선,오목교(목동운동장앞),21657,23200
20250901,5호선,양평,9418,9189
20250901,5호선,영등포구청,5491,5378
20250901,5호선,영등포시장,12282,12288
